target,MAE,RMSE,split
temp_cabin3_back_34u_c,0.009156057494865968,0.014779800578271232,train
temp_cabin3_back_24u_c,0.007427104722792865,0.012754282205559745,train
temp_cabin3_back_22u_c,0.00815349075975411,0.013500727222028469,train
temp_cabin3_back_20u_c,0.011251540041067728,0.020286588867648597,train
temp_cabin3_back_28u_c,0.007069301848050223,0.013227286719620522,train
temp_cabin3_back_42u_c,0.011875770020534195,0.019186650743032885,train
temp_cabin3_back_30u_c,0.005791067761806941,0.009733928205828272,train
temp_cabin3_back_40u_c,0.00910677618069801,0.014720723215650372,train
temp_cabin3_back_32u_c,0.006950718685831567,0.011644304862418842,train
temp_cabin3_back_26u_c,0.005315708418892026,0.009946268634699005,train
temp_cabin3_back_38u_c,0.008103182751539982,0.015140931882653511,train
temp_cabin3_back_36u_c,0.02688501026694017,0.03849698646836892,train
__overall__,0.009757144079397815,0.017737087216316953,train
temp_cabin3_back_34u_c,0.09146875000000004,0.10436719512504532,val
temp_cabin3_back_24u_c,0.0604038461538452,0.07883890738276035,val
temp_cabin3_back_22u_c,0.05465865384615384,0.06887691083486362,val
temp_cabin3_back_20u_c,0.06634375000000008,0.07885581642246699,val
temp_cabin3_back_28u_c,0.019334134615384323,0.022727733714729813,val
temp_cabin3_back_42u_c,0.07624999999999925,0.08693281833603503,val
temp_cabin3_back_30u_c,0.06326201923076809,0.06817666089906428,val
temp_cabin3_back_40u_c,0.05534374999999896,0.06534299757227746,val
temp_cabin3_back_32u_c,0.013759615384615701,0.021348611691486077,val
temp_cabin3_back_26u_c,0.035805288461539374,0.05698234270199676,val
temp_cabin3_back_38u_c,0.09049519230769207,0.10006738114505995,val
temp_cabin3_back_36u_c,0.2422716346153847,0.29696357079582625,val
__overall__,0.0724497195512818,0.11066675815336885,val
temp_cabin3_back_34u_c,0.127278301886793,0.13274953807260786,test
temp_cabin3_back_24u_c,0.04739622641509334,0.0666127661428902,test
temp_cabin3_back_22u_c,0.02769811320754784,0.03183895946199677,test
temp_cabin3_back_20u_c,0.051089622641510284,0.05395548698206518,test
temp_cabin3_back_28u_c,0.020054245283018666,0.030923053850387253,test
temp_cabin3_back_42u_c,0.1039787735849056,0.11538477722835751,test
temp_cabin3_back_30u_c,0.05652830188679129,0.06077163990695818,test
temp_cabin3_back_40u_c,0.05596462264150843,0.061316670491706964,test
temp_cabin3_back_32u_c,0.010216981132075725,0.015340398632000606,test
temp_cabin3_back_26u_c,0.02479716981132175,0.04427509681653184,test
temp_cabin3_back_38u_c,0.11500943396226371,0.12377079585128441,test
temp_cabin3_back_36u_c,0.2194433962264147,0.2663172406013347,test
__overall__,0.07162126572327038,0.10651569420156876,test
