time_s,workload_intensity,gpu_power_w,ambient_temp_c,fan_speed_pct,gpu_temp_c,throttle_flag
0,0.1563,122.36,25.07,42.81,30.57,0
1,0.152,117.75,24.86,45.35,30.61,0
2,0.1431,109.96,24.94,44.73,30.63,0
3,0.133,74.09,25.03,43.63,30.67,0
4,0.1283,89.81,25.02,41.51,30.63,0
5,0.1327,111.16,25.05,39.9,30.6,0
6,0.1423,80.92,25.06,42.89,30.66,0
7,0.1497,102.92,24.82,41.7,30.63,0
8,0.1505,91.11,25.02,42.23,30.66,0
9,0.1456,111.19,24.99,42.37,30.65,0
10,0.139,91.36,25.11,38.71,30.67,0
11,0.1347,82.25,24.97,45.56,30.63,0
12,0.1349,113.49,25.03,39.09,30.67,0
13,0.1395,96.82,25.1,43.44,30.73,0
14,0.1467,107.73,24.98,42.71,30.75,0
15,0.1536,114.44,24.96,42.64,30.79,0
16,0.1567,131.51,24.97,41.1,30.8,0
17,0.1537,111.58,25.12,42.4,30.83,0
18,0.1456,127,25.21,42.11,30.84,0
19,0.1362,91.66,24.98,43.83,30.88,0
20,0.1295,74.53,25.09,45.54,30.89,0
21,0.1267,89.59,25.16,44.15,30.89,0
22,0.1274,78.54,24.94,42.34,30.87,0
23,0.1309,97.8,24.98,43.6,30.89,0
24,0.1361,121.93,25.16,42.7,30.89,0
25,0.1413,87.68,24.86,41.55,30.92,0
26,0.145,101.07,25.02,41.16,30.88,0
27,0.1477,103.86,24.91,44.14,30.88,0
28,0.1515,110.04,25.04,41.44,30.87,0
29,0.1572,98.8,25.03,44.02,30.86,0
30,0.1639,97.84,25.19,47.97,30.86,0
31,0.1694,126.93,25.02,42.23,30.88,0
32,0.171,128.11,25.16,46.41,30.94,0
33,0.1665,111.44,25.05,43.82,30.94,0
34,0.155,117.9,24.86,42.82,30.97,0
35,0.1378,95.24,25.1,40.82,31.02,0
36,0.1198,73.79,24.77,40.1,30.99,0
37,0.1068,70.73,25.18,41.47,30.97,0
38,0.1015,67.03,24.96,40.93,30.9,0
39,0.1027,63.23,25.09,38.4,30.92,0
40,0.1071,63.28,25.25,38.57,30.94,0
41,0.1129,86.43,25.16,36.33,30.96,0
42,0.1201,78.45,24.99,40.71,30.94,0
43,0.1295,76.82,25.06,44.23,30.91,0
44,0.1421,95.01,25.04,41.86,30.91,0
45,0.1578,112.35,24.99,39.01,30.9,0
46,0.1752,132.88,25.27,45.95,30.93,0
47,0.1914,134.03,25.19,44.67,30.95,0
48,0.2026,123.3,25.01,47.83,31.01,0
49,0.2059,146.54,25.13,46.83,31.05,0
50,0.201,142.5,24.93,45.32,31.13,0
51,0.1902,141.23,25.11,44.67,31.2,0
52,0.1775,120.25,25.07,42.25,31.25,0
53,0.1675,125.34,25.02,44.56,31.27,0
54,0.1625,138.75,25.28,43.09,31.32,0
55,0.1616,119.33,25.08,44.83,31.35,0
56,0.162,111.8,24.76,41.78,31.38,0
57,0.1617,127.3,25.14,45.62,31.37,0
58,0.1617,113.93,25.06,41.97,31.39,0
59,0.163,126.36,25.05,42.72,31.38,0
60,0.1646,123.2,24.91,44.82,31.38,0
61,0.1636,126.69,25.2,44.18,31.41,0
62,0.1587,103.82,25.09,43.1,31.45,0
63,0.1507,97.22,25.28,38.9,31.5,0
64,0.1431,100.39,25.06,42.16,31.52,0
65,0.1397,96.63,25,41.21,31.52,0
66,0.1426,90.82,25.29,44.7,31.51,0
67,0.1495,123.49,25.06,45.47,31.48,0
68,0.1549,113.92,25.09,45.49,31.55,0
69,0.1544,91.95,25.11,44.76,31.61,0
70,0.1488,99.15,25.03,42.06,31.54,0
71,0.1429,121.03,25.1,41.28,31.5,0
72,0.1409,97.1,25.02,40.08,31.49,0
73,0.1429,104,25.15,40.58,31.49,0
74,0.1446,98.76,25.29,40.24,31.49,0
75,0.1418,111.1,25.15,46.4,31.49,0
76,0.1342,80.18,25.04,44.19,31.43,0
77,0.1254,67.62,24.87,38.74,31.42,0
78,0.1207,93.72,25.01,40.17,31.37,0
79,0.1226,93.98,24.95,41.89,31.31,0
80,0.1291,109.15,25.18,43.13,31.32,0
81,0.1352,87.02,25.15,41.87,31.31,0
82,0.1367,105.95,25.11,44.3,31.27,0
83,0.1336,116.11,25.1,38.26,31.31,0
84,0.1305,80.44,24.87,42.66,31.36,0
85,0.1317,99.36,25.07,44.53,31.35,0
86,0.1364,107.49,25.01,43.73,31.36,0
87,0.1398,98.22,25.12,42.59,31.37,0
88,0.1386,110.47,25.03,38.89,31.35,0
89,0.1339,110.62,25.21,39.51,31.4,0
90,0.1295,80.55,25.06,38.42,31.45,0
91,0.1282,71.51,25.01,39.74,31.48,0
92,0.1312,112.92,25.2,37.63,31.47,0
93,0.1385,103.21,25.17,40.78,31.48,0
94,0.1482,108.18,25.01,42.23,31.51,0
95,0.157,115.67,25.23,46,31.49,0
96,0.1614,115.69,25.07,44.98,31.5,0
97,0.1604,102.49,25.26,42,31.51,0
98,0.1564,100.64,25.2,44.57,31.51,0
99,0.1535,118.71,25.09,40.59,31.49,0
100,0.1538,112.38,25.24,42.04,31.53,0
101,0.1562,103.78,25.11,44.9,31.49,0
102,0.1582,103.59,24.97,43.51,31.47,0
103,0.158,109.18,24.97,47.85,31.54,0
104,0.1549,108.92,25,41.54,31.45,0
105,0.1488,96.19,25.08,46,31.48,0
106,0.1402,117.75,25.16,40.75,31.49,0
107,0.1316,73.45,24.86,41.36,31.52,0
108,0.126,72.73,25.08,36.77,31.45,0
109,0.1247,91.03,25.1,40.28,31.44,0
110,0.1257,89.19,25.15,41.32,31.41,0
111,0.1254,74.55,24.93,42.76,31.41,0
112,0.1232,94.92,25.18,39.44,31.42,0
113,0.1224,93.95,25.21,41.79,31.43,0
114,0.1263,99.99,24.78,42.54,31.4,0
115,0.1355,90.87,24.81,43.2,31.34,0
116,0.1474,107.53,25.3,43.29,31.35,0
117,0.1585,117.76,25.09,47.31,31.32,0
118,0.1656,114.83,25.11,37.56,31.32,0
119,0.1661,118.92,25.09,45.01,31.37,0
120,0.1613,113.52,25.11,44.62,31.44,0
121,0.1563,97.94,25.17,38.97,31.5,0
122,0.1563,115.18,25.05,40.13,31.44,0
123,0.1605,97.45,25.12,44.54,31.47,0
124,0.1632,111,25.1,45.27,31.45,0
125,0.161,121.46,25.14,43.39,31.42,0
126,0.1573,118.82,25.02,43.19,31.45,0
127,0.1579,91.44,25.18,44.81,31.45,0
128,0.1639,106.83,25.06,41.59,31.46,0
129,0.17,115.61,24.99,45.69,31.38,0
130,0.1703,121.25,25.05,41.74,31.39,0
131,0.165,105.37,25.2,44.4,31.42,0
132,0.1601,124.52,24.93,43.5,31.47,0
133,0.1609,114.36,24.94,43.33,31.48,0
134,0.1668,97.97,25.12,43.35,31.54,0
135,0.1719,117.04,25.04,45.61,31.54,0
136,0.1706,119.44,25.11,44.06,31.53,0
137,0.1636,119.37,25.05,43,31.57,0
138,0.1556,114.82,25.06,42.44,31.61,0
139,0.1503,123.36,25,42.17,31.61,0
140,0.1481,111.96,25.08,42.57,31.63,0
141,0.1479,99.93,25.17,42.1,31.67,0
142,0.1491,110.87,25.23,44.07,31.64,0
143,0.1507,93.05,25.18,46.51,31.62,0
144,0.1511,105.18,25.16,43.56,31.61,0
145,0.1486,109.81,25.16,43.9,31.6,0
146,0.1425,98.09,25.25,40.89,31.57,0
147,0.1342,101.2,25.2,40.81,31.54,0
148,0.1291,85.83,25.16,38.99,31.59,0
149,0.136,104.47,25.22,42.75,31.59,0
150,0.1613,120.03,25.15,42.59,31.6,0
151,0.2032,144.91,25.07,47.93,31.57,0
152,0.2511,175.72,25.17,46.11,31.63,0
153,0.2945,189.21,25.25,54.46,31.71,0
154,0.3307,234.94,25.04,56.22,31.75,0
155,0.3648,245.42,25.24,57.59,31.91,0
